experiment run ,dataset  ,number of subgraphs ,size of subgraphs ,complete time         ,embedding training time ,classifier training time ,LP score time         ,reliability time      ,time from measured   ,percentage of measured
Countries_101,Countries,10,50,26.57180775,0.401547458,0.04592225000000005,0.0978563750000001,26.01137225,26.556698333,0.9994313741412644
Countries_99,Countries,10,50,14.895940541,0.4503665,0.048261250000000144,0.10066962499999987,14.281599792,14.880897167,0.9989901024404204
Countries_99,Countries,10,50,14.929557583000001,0.43661324999999995,0.04349391699999994,0.0962864590000001,14.338150125,14.914543751,0.998994355196627
Countries_99,Countries,10,50,15.80145525,0.471290458,0.044832167000000034,0.10193566700000001,15.169643292000002,15.787701584000002,0.9991295949782855
Countries_99,Countries,10,50,15.10583575,0.4551155830000001,0.04467954200000013,0.11204550000000002,14.478577583,15.090418208,0.9989793651767993
Countries_99,Countries,10,50,14.776554583,0.0003785829999999324,0.04198975000000005,0.09575254099999997,14.625518,14.763638874,0.9991259323052981
Countries_99,Countries,10,50,15.375890084000002,0.45157920799999995,0.04359299999999999,0.10101870800000001,14.765986082999998,15.362176998999997,0.999108143663548
Countries_99,Countries,10,50,14.90258675,0.0003292910000000093,0.04208641599999996,0.08929112499999992,14.757819,14.889525832,0.9991235804750475
Countries_99,Countries,10,50,14.842153708,0.00030925000000003866,0.04186599999999996,0.09410029199999992,14.692999582999999,14.829275124999999,0.9991322968853867
Nations_99,Nations,100,5,44.856533958,0.3259679579999999,0.11356787499999998,4.154749,40.236259542,44.830544375,0.9994206065269258
CodexSmall_99,CodexSmall,1000,50,34955.222430584,38.676725916,205.14061495899998,747.278299291,33951.51248825,34942.608128416,0.9996391296838965
Countries_0,Countries,10,20,2.935427958,0.463407833,0.04464950000000001,0.03527420799999992,2.3830631660000003,2.926394707,0.9969226800557713
Countries_0,Countries,10,20,2.856103208,0.449872167,0.04483883300000002,0.027087540999999993,2.325133917,2.846932458,0.9967890691154604
Countries_0,Countries,10,20,2.8813731249999996,0.46109125000000006,0.044413540999999945,0.035550916999999904,2.3306575,2.871713208,0.9966474605748953
Countries_0,Countries,10,20,2.905016375,0.451901333,0.04588087499999993,0.03746829099999993,2.360032042,2.895282541,0.9966493015035068
Countries_0,Countries,10,20,2.848809667,0.4555038330000001,0.04350179200000004,0.034056499999999934,2.3062683749999997,2.8393305,0.9966725867614799
Countries_0,Countries,10,20,2.8060948750000003,0.4441804169999999,0.04326379200000008,0.033515375000000125,2.279122333,2.800081917,0.9978571793656833
Countries_1,Countries,100,5,1.7776352919999998,0.005825458000000006,0.04256766699999992,0.0748018749999999,1.647941958,1.771136958,0.9963443941345873
CodexSmall_1,CodexSmall,1000,16,3792.607778958,0.08669020800000005,51.309994542000005,153.799915625,3587.080279084,3792.2768794589997,0.9999127514580242
CodexSmall_0,CodexSmall,1000,20,13023.609943582998,37.870877,151.008989916,530.404604833,12303.425295750001,13022.709767499002,0.999930881215892
Nations_99,Nations,1000,5,758.166319333,0.006442792000000086,0.11047016600000004,48.051048875000006,709.922456291,758.090418124,0.9998998884452336
Nations_98,Nations,1000,5,761.258453666,0.006757874999999913,0.15997108300000007,51.103355458,709.9843455419999,761.254429958,0.9999947143995831
CodexSmall_99,CodexSmall,1000,20,7802.513969875,0.11799345799999994,69.620492584,235.484011292,7496.777419665999,7801.999916999999,0.9999341170195932
CodexSmall_99,CodexSmall,1000,20,7342.070376125,0.1926876660000001,76.821308542,268.459146917,6996.493153417,7341.966296542,0.9999858242188283
CodexMedium_0,CodexMedium,1000,20,25115.501676375003,2746.169494625,2501.320793084,2310.126159582999,17550.084816374998,25107.701263666997,0.9996894183995001
